Feature Selection Method,Balancing Technique,Important Features
LASSO (Logistic Regression L1),SMOTE,"Gender_Male, Gender_Female, Class_Business, Class_Eco, Type of Travel_Business travel, Customer Type_Loyal Customer, Customer Type_disloyal Customer, Class_Eco Plus, Type of Travel_Personal Travel, Online boarding, Inflight wifi service, Checkin service, On-board service, Arrival Delay in Minutes, Leg room service"
Random Forest Importance,SMOTE,"Online boarding, Inflight wifi service, Class_Business, Type of Travel_Business travel, Inflight entertainment, Type of Travel_Personal Travel, Seat comfort, Ease of Online booking, Customer Type_Loyal Customer, Flight Distance, Age, Class_Eco, Leg room service, On-board service, Baggage handling"
LASSO (Logistic Regression L1),RandomUndersampling,"Type of Travel_Personal Travel, Online boarding, Customer Type_disloyal Customer, Inflight wifi service, Checkin service, Class_Eco, On-board service, Arrival Delay in Minutes, Leg room service, Cleanliness, Ease of Online booking, Class_Eco Plus, Departure/Arrival time convenient, Departure Delay in Minutes, Baggage handling"
Random Forest Importance,RandomUndersampling,"Online boarding, Inflight wifi service, Class_Business, Type of Travel_Personal Travel, Inflight entertainment, Type of Travel_Business travel, Seat comfort, Ease of Online booking, Class_Eco, Flight Distance, On-board service, Age, Leg room service, Customer Type_disloyal Customer, Customer Type_Loyal Customer"
